NUMERO_LAUDO,DATA,FROTA,PARECER,ANALISE,CONCLUSAO
14943,11/09/2024,160053,,,
18149,20/12/2024,160059,,,
18149,20/12/2024,160067,,,
18149,20/12/2024,71385,,,
18172,23/12/2024,160046,,,
18172,23/12/2024,160062,,,
18172,23/12/2024,160750,,,
18172,23/12/2024,160751,,,
18172,23/12/2024,71383,,,
18283,02/01/2025,00022,,,
18283,02/01/2025,160005,,,
18283,02/01/2025,160011,,,
18283,02/01/2025,160014,,,
18527,13/01/2025,160063,,,
19166,29/01/2025,160007,,,
19166,29/01/2025,160008,,,
19166,29/01/2025,160014,,,
20141,28/02/2025,61312,,,
20794,25/03/2025,400,SENSORES E BATERIA COM FALHA,"IDENTIFICACAO DE AUSENCIA DE VALORES CLIMATOLOGICOS COMO VELOCIDADE DE VENTO, UMIDADE ETC, SUBSTITUICAO DE BATERIAS","FORAM REALIZADOS TODOS OS TESTES, SUBSTITUICAO  E SOLICITACAO DE COMPONENTES COM DEFEITOS."
20794,25/03/2025,4009,SENSORES E BATERIA COM FALHA,"IDENTIFICACAO DE AUSENCIA DE VALORES CLIMATOLOGICOS COMO VELOCIDADE DE VENTO, UMIDADE ETC, SUBSTITUICAO DE BATERIAS","FORAM REALIZADOS TODOS OS TESTES, SUBSTITUICAO  E SOLICITACAO DE COMPONENTES COM DEFEITOS."
20794,25/03/2025,404,SENSORES E BATERIA COM FALHA,"IDENTIFICACAO DE AUSENCIA DE VALORES CLIMATOLOGICOS COMO VELOCIDADE DE VENTO, UMIDADE ETC, SUBSTITUICAO DE BATERIAS","FORAM REALIZADOS TODOS OS TESTES, SUBSTITUICAO  E SOLICITACAO DE COMPONENTES COM DEFEITOS."
20877,27/03/2025,4009,CAIXA HERMETICA DANIFICADA,CAIXA HERMETICA DANIFICADA DEVIDO A EXPOSICAO AO TEMPO,REALIZADO A SUBSTITUICAO DE CAIXA DANIFICADA POR UMA NOVA
20880,27/03/2025,4009,SENSOR DE UMIDADE COM DEFEITO,SERA ABERTO UM CHAMADO PARA REALIZAR A TROCA POR UM NOVO,COM A TROCA POR UM SENSOR NOVO CONSEGUIMOS CAPTAR OS VALORES DE UMIDADE E PONTO DE ORVALHO
